student_id,course_id,total_login_days,avg_session_time_min,total_study_time_min,last_login_days_ago,device_type
S1,C10,55,84,5387,50,Tablet
S2,C5,29,78,753,28,Tablet
S3,C2,25,16,1945,36,Tablet
S4,C16,53,84,5601,10,Tablet
S5,C20,52,16,1582,36,Tablet
S6,C2,37,58,293,56,Tablet
S7,C21,42,85,2758,13,Mobile
S8,C27,82,11,2827,53,Tablet
S9,C20,48,32,3870,30,Tablet
S10,C28,16,18,1824,4,Mobile
S11,C3,55,48,3888,59,Desktop
S12,C26,69,10,4321,51,Desktop
S13,C17,93,62,5368,51,Mobile
S14,C3,46,27,2206,2,Tablet
S15,C10,90,63,4616,5,Tablet
S16,C4,20,70,5749,44,Mobile
S17,C1,1,79,5988,37,Tablet
S18,C9,88,66,5336,31,Tablet
S19,C17,23,58,4349,37,Mobile
S20,C3,17,83,3828,13,Tablet
S21,C18,75,57,2818,50,Tablet
S22,C9,47,17,5598,48,Mobile
S23,C21,2,70,3615,1,Tablet
S24,C19,97,40,906,10,Desktop
S25,C13,11,80,5626,49,Desktop
S26,C18,55,90,2878,46,Desktop
S27,C8,16,63,4705,53,Mobile
S28,C28,74,85,5868,27,Mobile
S29,C1,12,74,4602,4,Mobile
S30,C7,91,50,4201,18,Desktop
S31,C11,60,17,4297,37,Tablet
S32,C9,59,68,4906,40,Mobile
S33,C6,62,33,3001,16,Mobile
S34,C25,5,73,5970,11,Tablet
S35,C27,47,47,1014,51,Desktop
S36,C1,5,53,2009,19,Tablet
S37,C28,13,22,3685,40,Desktop
S38,C26,81,35,916,7,Mobile
S39,C8,68,10,3297,3,Mobile
S40,C18,44,65,5934,29,Mobile
S41,C7,70,45,1593,26,Mobile
S42,C18,63,86,4043,38,Mobile
S43,C28,27,46,3796,16,Tablet
S44,C3,16,19,3224,23,Tablet
S45,C30,6,36,1663,49,Mobile
S46,C4,62,83,3332,40,Desktop
S47,C16,95,29,1755,31,Desktop
S48,C13,58,11,949,15,Desktop
S49,C29,48,82,1002,40,Tablet
S50,C10,45,34,1979,17,Mobile
S51,C23,62,63,411,9,Desktop
S52,C17,70,63,2986,58,Tablet
