student_id,videos_watched,quizzes_attempted,assignments_submitted,forum_posts,progress_percent,notes_downloaded
S1,21,8,12,7,59,1
S2,0,35,13,6,54,5
S3,30,0,12,16,72,2
S4,2,39,15,11,23,11
S5,118,17,9,19,50,10
S6,0,7,10,23,23,20
S7,117,14,15,3,61,10
S8,81,2,15,14,56,3
S9,100,6,0,10,28,6
S10,135,28,4,16,44,10
S11,19,10,3,9,11,0
S12,49,37,0,9,59,3
S13,52,8,11,19,23,3
S14,104,9,14,21,99,4
S15,96,25,3,14,73,18
S16,101,33,1,19,33,13
S17,41,25,14,10,34,0
S18,101,20,4,20,67,18
S19,101,23,9,11,39,0
S20,29,32,2,14,92,10
S21,79,17,10,15,23,19
S22,53,40,4,11,91,13
S23,74,10,14,10,70,20
S24,13,14,10,3,87,20
S25,140,22,2,15,10,1
S26,96,15,15,22,95,9
S27,77,29,12,11,21,19
S28,83,18,12,23,64,15
S29,14,34,14,5,36,9
S30,66,27,1,1,4,14
S31,20,11,2,9,82,1
S32,147,37,14,11,96,14
S33,66,13,7,1,100,0
S34,5,29,14,4,47,2
S35,113,17,9,3,43,10
S36,54,27,11,6,59,19
S37,0,31,7,3,81,4
S38,43,32,11,23,78,20
S39,10,1,3,5,61,4
S40,63,20,11,13,73,9
S41,126,40,11,1,14,16
S42,22,35,7,3,96,10
S43,71,1,1,12,62,18
S44,16,12,14,22,26,6
S45,82,34,13,17,46,16
S46,43,26,8,0,2,14
S47,18,17,7,3,90,3
S48,44,15,9,4,8,2
S49,19,12,12,1,89,7
S50,32,5,0,4,80,15
S51,70,30,4,16,23,19
S52,82,12,13,13,74,2
S53,92,25,2,2,56,14
S54,97,7,15,15,51,2
S55,74,30,1,23,23,4
S56,97,7,15,18,37,11
S57,46,13,0,1,28,15
S58,104,34,11,6,23,14
S59,81,5,9,15,2,2
S60,111,24,2,5,66,1
S61,149,36,11,22,11,9
S62,80,12,0,8,66,15
S63,150,25,9,20,19,14
S64,20,31,12,11,66,15
S65,67,34,7,24,31,0
S66,20,18,5,10,94,18
S67,4,14,4,1,95,0
S68,129,21,7,24,70,2
S69,97,21,8,19,89,7
S70,84,8,9,18,86,13
S71,43,20,11,7,64,12
S72,38,20,6,18,19,3
S73,142,29,15,25,63,6
S74,127,17,6,13,48,2
S75,30,18,8,11,82,20
