student_id,payment_amount,refund_requested,discount_used
S1,300,0,0
S2,0,0,0
S3,200,0,1
S4,300,0,0
S5,100,0,0
S6,0,0,0
S7,200,0,0
S8,0,0,0
S9,100,0,1
S10,300,0,1
S11,100,0,0
S12,0,0,0
S13,0,0,0
S14,200,1,1
S15,200,0,0
S16,300,0,0
S17,300,0,1
S18,200,0,0
S19,300,0,0
S20,300,0,0
S21,0,0,0
S22,0,0,0
S23,200,0,0
S24,0,0,0
S25,100,0,0
S26,200,0,0
S27,200,0,0
S28,0,0,0
S29,100,0,1
S30,100,1,0
S31,100,0,1
S32,200,0,0
S33,100,1,1
S34,200,0,1
S35,300,0,1
S36,100,0,0
S37,0,0,0
S38,0,0,0
S39,0,0,0
S40,0,0,0
S41,100,0,1
S42,300,0,1
S43,100,0,0
S44,300,0,1
S45,100,0,0
S46,200,0,0
S47,100,0,1
S48,100,0,0
S49,100,0,1
S50,200,0,0
S51,100,0,0
S52,100,0,1
S53,200,0,0
S54,100,0,0
S55,300,0,0
S56,200,0,1
S57,0,0,0
S58,0,0,0
S59,200,0,0
S60,0,0,0
S61,0,0,0
S62,200,0,0
S63,0,0,0
S64,0,0,0
S65,100,0,0
S66,300,0,0
S67,200,0,1
S68,0,0,0
S69,100,0,0
S70,0,0,0
S71,0,0,0
S72,100,0,0
S73,300,0,1
S74,300,0,0
S75,300,0,1
S76,200,0,0
S77,200,0,1
S78,0,0,0
S79,300,0,0
S80,100,0,1
S81,0,0,0
S82,300,0,1
S83,100,0,0
S84,300,0,0
S85,100,0,0
S86,100,0,0
S87,0,0,0
S88,0,0,0
S89,100,0,0
S90,300,0,0
S91,0,0,0
S92,100,0,0
S93,100,0,0
S94,200,0,0
S95,200,0,1
S96,100,0,1
S97,0,0,0
S98,200,0,0
S99,0,0,0
S100,0,0,0
S101,200,0,0
S102,200,0,0
S103,300,0,0
S104,200,0,1
S105,0,0,0
S106,300,0,0
S107,200,0,0
S108,100,0,0
S109,200,0,0
S110,300,0,0
S111,0,0,0
S112,100,0,1
S113,200,0,0
S114,300,0,1
S115,100,0,0
S116,0,0,0
S117,0,0,0
S118,100,0,0
S119,200,0,0
S120,100,0,0
S121,300,0,0
S122,300,0,0
S123,0,0,0
S124,300,0,0
S125,0,0,0
S126,300,0,0
S127,300,0,0
S128,300,0,0
S129,0,0,0
S130,100,0,0
S131,300,0,1
S132,200,0,1
S133,300,0,1
S134,300,0,0
S135,200,0,1
S136,300,0,0
S137,300,0,0
S138,100,0,0
S139,200,0,0
S140,0,0,0
S141,0,0,0
S142,300,0,0
S143,100,0,0
S144,300,0,0
S145,300,0,0
S146,300,0,1
S147,200,0,0
S148,100,0,0
S149,300,0,0
S150,0,0,0
S151,300,0,1
S152,0,0,0
S153,0,0,0
S154,200,0,0
S155,100,0,0
S156,300,0,0
S157,100,0,1
S158,200,0,0
S159,0,0,0
S160,200,0,0
S161,300,0,0
S162,300,0,0
S163,300,0,0
S164,200,0,0
S165,100,0,0
S166,200,0,0
S167,100,0,0
S168,100,0,0
S169,100,0,1
S170,300,0,0
S171,200,0,0
S172,100,0,0
S173,200,0,0
S174,200,0,1
S175,300,0,1
S176,0,0,0
S177,200,0,0
S178,100,0,0
S179,300,0,0
S180,0,0,0
S181,0,0,0
S182,100,0,0
S183,200,0,0
S184,0,0,0
S185,300,0,1
S186,300,0,1
S187,300,0,1
S188,0,0,0
S189,300,0,0
S190,200,0,1
S191,100,0,0
S192,200,0,0
S193,300,0,1
S194,0,0,0
S195,0,0,0
S196,100,0,0
S197,0,0,0
S198,200,0,1
S199,300,0,1
S200,0,0,0
S201,100,0,0
S202,200,0,0
S203,300,0,1
S204,100,0,0
S205,200,0,0
S206,0,0,0
S207,300,0,0
S208,0,0,0
S209,200,0,1
S210,200,0,1
S211,200,0,0
S212,200,0,0
S213,0,0,0
S214,200,0,1
S215,100,0,1
S216,200,0,1
S217,200,0,1
S218,0,0,0
S219,100,0,0
S220,100,0,1
S221,0,0,0
S222,200,0,0
S223,200,0,0
S224,200,0,1
S225,300,0,0
S226,100,0,0
S227,200,0,1
S228,300,0,0
S229,0,0,0
S230,200,0,0
S231,300,0,0
S232,100,0,1
S233,200,0,0
S234,300,0,0
S235,200,0,0
S236,0,0,0
S237,0,0,0
S238,0,0,0
S239,0,0,0
S240,100,0,0
S241,0,0,0
S242,300,0,1
S243,0,0,0
S244,200,0,0
S245,100,0,0
S246,0,0,0
S247,100,0,0
S248,100,0,0
S249,300,0,0
S250,200,0,0
S251,100,0,0
S252,100,0,0
S253,300,0,1
S254,0,0,0
S255,200,0,0
S256,200,0,0
S257,0,0,0
S258,0,0,0
S259,200,0,0
S260,100,0,0
S261,100,0,0
S262,200,0,0
S263,0,0,0
S264,0,0,0
S265,100,0,1
S266,200,1,0
S267,300,0,0
S268,100,0,0
S269,0,0,0
S270,300,0,0
S271,300,0,0
S272,100,0,0
S273,200,0,0
S274,200,0,0
S275,300,0,0
S276,200,0,0
S277,300,0,1
S278,0,0,0
S279,200,0,1
S280,300,0,1
S281,200,0,0
S282,100,0,1
S283,0,0,0
S284,200,0,0
S285,0,0,0
S286,100,0,1
S287,0,0,0
S288,0,0,0
S289,200,0,0
S290,0,0,0
S291,200,0,1
S292,0,0,0
S293,0,0,0
S294,100,0,1
S295,0,0,0
S296,0,0,0
S297,100,0,1
S298,0,0,0
S299,200,0,0
S300,0,0,0
S301,300,0,1
S302,300,0,0
S303,100,0,0
S304,100,0,0
S305,200,0,1
S306,300,0,0
S307,300,0,0
S308,0,0,0
S309,300,0,0
