student_id,average_quiz_score,assignment_score,final_exam_score,badges_earned,certified
S1,64,55,53,1,1
S2,45,36,44,5,0
S3,49,43,49,5,0
S4,75,74,67,3,1
S5,87,78,77,2,1
S6,84,81,65,2,1
S7,59,52,58,7,0
S8,58,54,54,6,0
S9,77,70,68,7,1
S10,72,72,67,0,1
S11,76,69,66,8,1
S12,86,78,79,2,1
S13,67,58,59,5,1
S14,52,51,48,8,0
S15,81,72,71,3,1
S16,42,34,28,0,0
S17,70,69,67,6,1
S18,60,57,59,4,0
S19,96,96,89,1,1
S20,74,74,61,3,1
S21,41,34,23,2,0
S22,61,52,44,4,1
S23,54,46,34,1,0
S24,68,60,59,1,1
S25,91,91,72,6,1
S26,96,93,90,7,1
S27,57,54,53,2,0
S28,73,71,66,6,1
S29,57,52,48,4,0
S30,88,87,73,8,1
S31,48,47,30,7,0
S32,50,47,32,5,0
S33,80,75,66,0,1
S34,57,54,46,8,0
S35,86,83,68,3,1
S36,76,76,75,6,1
S37,85,81,84,5,1
S38,73,67,61,8,1
S39,70,63,57,7,1
S40,45,40,38,8,0
S41,51,45,33,0,0
S42,54,51,51,3,0
S43,48,46,29,7,0
S44,86,79,76,4,1
S45,51,42,45,3,0
S46,94,88,94,7,1
S47,95,86,86,6,1
S48,85,82,85,0,1
S49,44,43,34,4,0
S50,100,99,88,6,1
S51,46,44,30,2,0
S52,89,83,89,4,1
S53,69,63,50,5,1
S54,75,73,70,6,1
S55,63,53,61,0,1
S56,41,36,26,7,0
S57,51,46,46,2,0
S58,84,81,81,1,1
S59,84,74,64,4,1
S60,99,98,84,3,1
S61,78,78,77,0,1
S62,43,43,30,4,0
S63,99,98,86,5,1
S64,85,85,70,5,1
S65,74,74,59,4,1
S66,94,90,82,5,1
S67,42,38,26,1,0
S68,69,62,51,4,1
S69,52,42,37,7,0
S70,42,36,35,6,0
S71,46,42,46,5,0
S72,59,59,40,5,0
S73,62,57,50,1,1
S74,50,44,35,1,0
S75,91,82,79,2,1
S76,54,52,35,7,0
S77,65,56,45,4,1
S78,88,80,80,2,1
S79,98,91,85,8,1
S80,95,92,81,2,1
S81,88,82,80,2,1
S82,78,70,78,2,1
S83,47,45,37,7,0
S84,94,90,75,8,1
S85,53,51,48,3,0
S86,99,92,81,4,1
S87,81,73,76,4,1
S88,89,79,70,7,1
S89,68,59,56,4,1
S90,54,48,40,5,0
S91,96,91,85,3,1
S92,69,59,51,1,1
S93,43,38,24,7,0
S94,79,78,72,1,1
S95,96,89,88,4,1
S96,65,64,55,3,1
S97,97,87,78,3,1
S98,57,50,55,8,0
S99,71,70,61,4,1
S100,92,92,78,6,1
S101,70,61,68,4,1
S102,78,73,68,1,1
S103,95,90,82,0,1
S104,71,68,52,3,1
S105,83,83,81,2,1
S106,42,33,30,0,0
S107,86,86,86,1,1
S108,76,66,69,1,1
S109,73,72,70,2,1
S110,83,73,69,1,1
S111,81,75,72,1,1
S112,74,74,60,1,1
S113,93,87,88,3,1
S114,99,97,94,2,1
S115,44,42,24,1,0
S116,53,45,43,7,0
S117,82,79,73,4,1
S118,49,45,49,5,0
S119,44,37,31,3,0
S120,79,73,66,2,1
S121,79,76,72,7,1
S122,66,65,55,1,1
S123,92,87,87,0,1
S124,75,68,70,5,1
S125,86,77,86,1,1
S126,91,88,71,1,1
S127,73,70,61,6,1
S128,68,66,53,0,1
S129,54,50,52,2,0
S130,56,53,43,6,0
S131,54,52,40,4,0
S132,68,63,57,6,1
S133,73,69,73,3,1
S134,40,40,27,5,0
S135,70,66,53,1,1
S136,42,36,42,6,0
S137,74,64,66,7,1
S138,42,42,28,3,0
S139,47,37,37,8,0
S140,43,38,29,7,0
S141,63,60,54,8,1
S142,80,75,70,7,1
S143,54,50,53,2,0
S144,48,43,33,0,0
S145,69,60,62,0,1
S146,41,31,31,3,0
S147,83,79,77,7,1
S148,44,38,41,5,0
S149,78,76,64,4,1
S150,85,82,71,7,1
S151,93,88,92,8,1
S152,47,44,27,6,0
S153,91,91,73,4,1
S154,42,33,40,0,0
S155,40,36,21,5,0
S156,42,38,24,0,0
S157,96,95,82,2,1
S158,80,71,62,8,1
S159,48,40,33,7,0
S160,78,75,58,5,1
S161,77,76,73,4,1
S162,86,78,83,5,1
S163,97,92,78,2,1
S164,99,90,96,1,1
S165,55,50,54,7,0
S166,83,75,71,3,1
S167,99,89,94,1,1
S168,51,42,36,6,0
S169,67,60,49,8,1
S170,64,58,53,3,1
S171,70,61,51,3,1
S172,43,40,33,5,0
S173,66,62,49,2,1
S174,60,51,53,6,0
S175,68,67,58,4,1
S176,86,77,78,2,1
S177,64,63,45,8,1
S178,91,88,83,3,1
S179,90,86,70,3,1
S180,70,69,57,6,1
S181,89,86,69,7,1
S182,66,59,55,7,1
S183,82,81,65,4,1
S184,67,67,66,7,1
S185,85,75,71,1,1
S186,54,46,40,8,0
S187,71,64,59,8,1
S188,96,87,93,8,1
S189,51,49,38,1,0
S190,50,41,46,8,0
S191,86,86,79,1,1
S192,42,32,27,6,0
S193,62,62,49,2,1
S194,72,64,57,7,1
S195,53,48,40,1,0
S196,50,43,45,4,0
S197,57,51,55,3,0
S198,88,78,73,7,1
S199,81,74,63,3,1
S200,84,83,72,2,1
S201,92,85,80,6,1
S202,50,41,31,4,0
S203,97,88,88,5,1
S204,52,51,47,3,0
S205,55,53,37,1,0
S206,74,74,55,0,1
S207,87,79,82,1,1
S208,86,81,69,5,1
S209,56,54,38,6,0
S210,99,94,81,0,1
S211,49,49,43,0,0
S212,60,57,54,2,0
S213,57,48,49,0,0
S214,85,83,65,2,1
S215,90,85,74,4,1
S216,51,41,44,2,0
S217,66,60,53,5,1
S218,75,66,66,1,1
S219,71,63,61,8,1
S220,67,57,58,4,1
S221,91,81,76,5,1
S222,99,91,85,4,1
S223,54,54,42,2,0
S224,99,92,83,5,1
S225,88,87,86,0,1
S226,68,58,51,1,1
S227,80,76,76,0,1
S228,88,82,84,1,1
S229,48,48,39,1,0
S230,48,43,44,8,0
S231,63,58,57,6,1
S232,100,100,90,3,1
S233,73,65,57,6,1
S234,79,72,70,2,1
S235,57,49,56,6,0
S236,72,67,70,1,1
S237,80,72,66,1,1
S238,64,55,58,4,1
S239,64,54,54,7,1
S240,75,75,61,3,1
S241,72,65,69,1,1
S242,88,86,80,8,1
S243,74,73,70,0,1
S244,58,58,38,5,0
S245,93,89,79,1,1
S246,86,82,79,5,1
S247,72,67,55,5,1
S248,87,82,70,3,1
S249,55,49,45,4,0
S250,61,56,44,7,1
S251,69,60,68,8,1
S252,90,80,76,8,1
S253,77,68,68,6,1
S254,63,58,61,3,1
S255,63,56,63,3,1
S256,68,63,54,3,1
S257,50,41,30,3,0
S258,46,41,31,6,0
S259,99,93,81,5,1
S260,98,98,98,5,1
S261,41,36,40,8,0
S262,76,73,56,3,1
S263,49,41,42,1,0
S264,87,81,73,4,1
S265,91,91,90,0,1
S266,96,92,88,8,1
S267,47,45,42,2,0
S268,72,72,69,8,1
S269,83,80,72,5,1
S270,52,49,37,2,0
S271,95,87,76,8,1
S272,89,89,81,5,1
S273,45,36,43,6,0
S274,100,92,84,0,1
S275,94,84,79,1,1
S276,67,61,50,6,1
S277,75,68,63,6,1
S278,78,69,71,4,1
S279,63,63,49,8,1
S280,59,49,50,4,0
S281,46,45,38,4,0
S282,45,43,38,4,0
S283,60,57,46,3,0
S284,52,51,33,2,0
S285,83,74,65,7,1
S286,70,68,57,2,1
S287,75,73,60,7,1
S288,54,48,36,4,0
S289,72,69,52,1,1
S290,73,69,71,0,1
S291,53,47,51,5,0
S292,88,85,79,8,1
S293,46,43,32,7,0
S294,75,70,57,3,1
S295,93,93,91,2,1
S296,47,41,32,7,0
S297,94,85,88,7,1
S298,60,56,49,7,0
S299,42,42,26,2,0
S300,52,52,36,3,0
S301,42,37,30,7,0
S302,83,74,74,2,1
S303,79,70,60,1,1
S304,92,88,83,7,1
S305,78,68,74,4,1
S306,55,45,49,4,0
S307,73,67,72,4,1
S308,73,64,60,3,1
S309,97,91,92,8,1
S310,90,90,83,1,1
S311,61,51,60,5,1
S312,40,37,22,6,0
S313,54,46,53,0,0
S314,72,67,72,2,1
S315,45,35,45,6,0
S316,42,34,39,0,0
S317,74,67,74,2,1
S318,51,51,34,4,0
S319,42,34,40,2,0
S320,66,59,51,6,1
S321,48,40,48,4,0
S322,47,47,44,0,0
S323,100,97,93,3,1
S324,91,83,76,0,1
S325,72,68,72,5,1
S326,85,85,76,2,1
S327,57,54,48,0,0
S328,40,35,20,8,0
S329,98,91,94,7,1
