student_id,age,education_level,country,course_category,course_difficulty,total_login_days,avg_session_time_min,total_study_time_min,last_login_days_ago,videos_watched,quizzes_attempted,assignments_submitted,progress_percent,final_exam_score,payment_amount,consistent_weekly_study,dropout
S1,21,School,India,Science,Intermediate,55,84,5387,50,21,8,12,59,53,300,0,0
S2,38,UG,Australia,Science,Advanced,29,78,753,28,0,35,13,54,44,0,1,0
S3,33,UG,Australia,Business,Intermediate,25,16,1945,36,30,0,12,72,49,200,1,1
S4,35,Diploma,India,Science,Beginner,53,84,5601,10,2,39,15,23,67,300,1,0
S5,25,Diploma,UK,Science,Beginner,52,16,1582,36,118,17,9,50,77,100,0,0
S6,21,School,Canada,Business,Intermediate,37,58,293,56,0,7,10,23,65,0,1,1
S7,27,Diploma,UK,Science,Intermediate,42,85,2758,13,117,14,15,61,58,200,0,0
S8,40,UG,Australia,Business,Advanced,82,11,2827,53,81,2,15,56,54,0,0,0
S9,21,Diploma,Australia,Science,Beginner,48,32,3870,30,100,6,0,28,68,100,1,0
S10,19,School,USA,Science,Beginner,16,18,1824,4,135,28,4,44,67,300,0,1
S11,32,Diploma,USA,Coding,Advanced,55,48,3888,59,19,10,3,11,66,100,1,1
S12,25,UG,India,Coding,Advanced,69,10,4321,51,49,37,0,59,79,0,1,0
S13,31,UG,UK,Science,Advanced,93,62,5368,51,52,8,11,23,59,0,0,0
S14,41,Diploma,Canada,Coding,Advanced,46,27,2206,2,104,9,14,99,48,200,1,0
S15,42,School,USA,Science,Intermediate,90,63,4616,5,96,25,3,73,71,200,0,1
S16,41,School,USA,Business,Beginner,20,70,5749,44,101,33,1,33,28,300,1,1
S17,37,Diploma,India,AI/ML,Intermediate,1,79,5988,37,41,25,14,34,67,300,1,0
S18,37,UG,India,Coding,Beginner,88,66,5336,31,101,20,4,67,59,200,1,0
S19,41,School,Australia,Science,Advanced,23,58,4349,37,101,23,9,39,89,300,1,1
S20,24,PG,Australia,Coding,Advanced,17,83,3828,13,29,32,2,92,61,300,1,1
S21,30,PG,Canada,Science,Beginner,75,57,2818,50,79,17,10,23,23,0,0,1
S22,18,School,India,Coding,Beginner,47,17,5598,48,53,40,4,91,44,0,0,0
S23,24,UG,USA,Science,Intermediate,2,70,3615,1,74,10,14,70,34,200,0,0
S24,20,Diploma,Australia,AI/ML,Beginner,97,40,906,10,13,14,10,87,59,0,0,0
S25,29,School,USA,Business,Advanced,11,80,5626,49,140,22,2,10,72,100,0,0
S26,32,Diploma,Australia,Science,Beginner,55,90,2878,46,96,15,15,95,90,200,1,0
S27,18,UG,India,Business,Advanced,16,63,4705,53,77,29,12,21,53,200,1,1
S28,35,UG,India,Science,Beginner,74,85,5868,27,83,18,12,64,66,0,1,1
S29,26,Diploma,India,AI/ML,Intermediate,12,74,4602,4,14,34,14,36,48,100,1,1
S30,19,Diploma,USA,Science,Intermediate,91,50,4201,18,66,27,1,4,73,100,1,1
S31,33,UG,UK,Business,Beginner,60,17,4297,37,20,11,2,82,30,100,1,0
S32,44,School,Australia,Coding,Beginner,59,68,4906,40,147,37,14,96,32,200,0,0
S33,22,UG,USA,AI/ML,Beginner,62,33,3001,16,66,13,7,100,66,100,0,0
S34,23,School,Australia,Science,Beginner,5,73,5970,11,5,29,14,47,46,200,1,0
S35,33,School,UK,Business,Advanced,47,47,1014,51,113,17,9,43,68,300,1,1
S36,26,Diploma,India,AI/ML,Intermediate,5,53,2009,19,54,27,11,59,75,100,1,0
S37,24,Diploma,UK,Science,Beginner,13,22,3685,40,0,31,7,81,84,0,0,0
S38,31,Diploma,USA,Coding,Advanced,81,35,916,7,43,32,11,78,61,0,1,0
S39,31,Diploma,UK,Business,Advanced,68,10,3297,3,10,1,3,61,57,0,1,0
S40,29,Diploma,Australia,Science,Beginner,44,65,5934,29,63,20,11,73,38,0,0,1
S41,43,UG,UK,Science,Intermediate,70,45,1593,26,126,40,11,14,33,100,0,0
S42,19,UG,USA,Science,Beginner,63,86,4043,38,22,35,7,96,51,300,1,0
S43,39,School,UK,Science,Beginner,27,46,3796,16,71,1,1,62,29,100,1,0
S44,39,Diploma,Canada,Coding,Advanced,16,19,3224,23,16,12,14,26,76,300,1,0
S45,29,Diploma,India,Science,Advanced,6,36,1663,49,82,34,13,46,45,100,1,0
S46,25,PG,India,Business,Beginner,62,83,3332,40,43,26,8,2,94,200,0,1
S47,38,School,India,Science,Beginner,95,29,1755,31,18,17,7,90,86,100,0,1
S48,32,School,USA,Business,Advanced,58,11,949,15,44,15,9,8,85,100,0,1
S49,44,UG,UK,AI/ML,Beginner,48,82,1002,40,19,12,12,89,34,100,0,1
S50,40,Diploma,UK,Science,Intermediate,45,34,1979,17,32,5,0,80,88,200,1,0
S51,26,PG,Canada,Math,Beginner,62,63,411,9,70,30,4,23,30,100,0,1
S52,33,Diploma,UK,Science,Advanced,70,63,2986,58,82,12,13,74,89,100,1,0
S53,21,Diploma,USA,Science,Advanced,19,30,3141,2,92,25,2,56,50,200,1,0
S54,33,School,Australia,Science,Beginner,48,26,3936,58,97,7,15,51,70,100,0,0
S55,42,School,Canada,Business,Intermediate,10,60,4461,48,74,30,1,23,61,300,1,0
S56,33,UG,Canada,Science,Beginner,44,45,665,31,97,7,15,37,26,200,0,1
S57,28,PG,UK,Business,Beginner,31,33,1148,12,46,13,0,28,46,0,1,0
S58,36,School,India,Coding,Advanced,87,20,4868,11,104,34,11,23,81,0,0,0
S59,45,UG,Canada,Business,Beginner,5,50,5651,24,81,5,9,2,64,200,1,0
S60,29,PG,Canada,AI/ML,Beginner,2,19,3604,38,111,24,2,66,84,0,0,0
S61,21,UG,Canada,Coding,Advanced,78,28,4293,30,149,36,11,11,77,0,1,1
S62,22,School,UK,AI/ML,Beginner,40,59,2725,59,80,12,0,66,30,200,0,1
S63,26,UG,Canada,Science,Beginner,18,57,5824,3,150,25,9,19,86,0,0,0
S64,33,School,USA,Science,Advanced,10,90,1623,10,20,31,12,66,70,0,1,1
S65,28,UG,UK,AI/ML,Beginner,51,70,520,41,67,34,7,31,59,100,0,1
S66,29,Diploma,India,Coding,Advanced,52,88,2031,33,20,18,5,94,82,300,1,0
S67,43,School,Canada,Science,Intermediate,84,85,3587,59,4,14,4,95,26,200,0,0
S68,38,PG,India,Business,Advanced,92,87,4551,30,129,21,7,70,51,0,1,0
S69,23,Diploma,USA,Science,Beginner,99,51,4974,42,97,21,8,89,37,100,1,0
S70,18,School,Canada,Science,Beginner,6,71,557,41,84,8,9,86,35,0,0,0
S71,29,PG,UK,Business,Advanced,49,30,409,29,43,20,11,64,46,0,1,0
S72,43,UG,India,Science,Advanced,87,61,345,35,38,20,6,19,40,100,1,0
S73,43,UG,India,Science,Beginner,37,53,5885,9,142,29,15,63,50,300,1,0
S74,38,School,Australia,Science,Intermediate,40,34,4690,37,127,17,6,48,35,300,1,0
S75,23,School,India,Business,Advanced,94,69,5036,10,30,18,8,82,79,300,0,0
S76,22,PG,Canada,Science,Advanced,14,74,5643,48,104,21,8,35,35,200,0,1
S77,23,School,Australia,AI/ML,Intermediate,99,89,5870,24,79,12,0,15,45,200,1,1
S78,19,UG,India,Business,Advanced,40,20,3920,11,92,15,10,1,80,0,1,0
S79,20,School,Canada,Business,Advanced,77,40,3767,35,74,9,11,87,85,300,1,0
S80,20,UG,Canada,Science,Intermediate,85,85,3498,49,15,14,13,43,81,100,0,0
S81,22,PG,Canada,Business,Intermediate,91,47,4362,43,100,35,15,37,80,0,0,1
S82,24,Diploma,USA,Science,Advanced,25,48,5655,25,19,27,9,39,78,300,0,0
S83,24,UG,USA,Science,Intermediate,62,40,4366,43,58,3,11,20,37,100,0,0
S84,26,School,UK,Business,Advanced,50,48,3385,19,88,23,10,63,75,300,0,0
S85,34,Diploma,UK,Science,Intermediate,7,60,3794,34,29,19,3,13,48,100,0,0
S86,26,School,India,Science,Intermediate,7,48,5262,4,2,13,14,36,81,100,1,0
S87,40,School,Canada,Business,Intermediate,94,41,2759,32,141,9,7,11,76,0,0,1
S88,26,UG,Canada,AI/ML,Beginner,20,61,2715,49,89,14,1,77,70,0,1,0
S89,39,Diploma,USA,Science,Beginner,2,53,2659,17,90,22,5,79,56,100,1,1
S90,20,School,Australia,Coding,Advanced,45,86,3947,36,100,19,15,3,40,300,1,0
S91,44,Diploma,UK,Science,Beginner,95,26,5393,36,81,1,14,67,85,0,0,0
S92,40,UG,UK,Business,Advanced,60,70,335,21,127,17,15,52,51,100,0,0
S93,36,UG,Australia,Science,Beginner,26,20,3550,29,62,26,9,25,24,100,1,1
S94,33,PG,UK,Business,Beginner,64,47,4303,26,146,24,10,69,72,200,0,0
S95,27,School,Canada,AI/ML,Intermediate,96,56,904,39,39,1,0,45,88,200,1,0
S96,27,PG,USA,Science,Advanced,97,48,3993,8,97,39,15,5,55,100,0,0
S97,43,PG,India,Science,Beginner,64,83,989,33,41,30,0,67,78,0,1,0
