student_id,age,education_level,country
S1,21,School,India
S2,38,UG,Australia
S3,33,UG,Australia
S4,35,Diploma,India
S5,25,Diploma,UK
S6,21,School,Canada
S7,27,Diploma,UK
S8,40,UG,Australia
S9,21,Diploma,Australia
S10,19,School,USA
S11,32,Diploma,USA
S12,25,UG,India
S13,31,UG,UK
S14,41,Diploma,Canada
S15,42,School,USA
S16,41,School,USA
S17,37,Diploma,India
S18,37,UG,India
S19,41,School,Australia
S20,24,PG,Australia
S21,30,PG,Canada
S22,18,School,India
S23,24,UG,USA
S24,20,Diploma,Australia
S25,29,School,USA
S26,32,Diploma,Australia
S27,18,UG,India
S28,35,UG,India
S29,26,Diploma,India
S30,19,Diploma,USA
S31,33,UG,UK
S32,44,School,Australia
S33,22,UG,USA
S34,23,School,Australia
S35,33,School,UK
S36,26,Diploma,India
S37,24,Diploma,UK
S38,31,Diploma,USA
S39,31,Diploma,UK
S40,29,Diploma,Australia
S41,43,UG,UK
S42,19,UG,USA
S43,39,School,UK
S44,39,Diploma,Canada
S45,29,Diploma,India
S46,25,PG,India
S47,38,School,India
S48,32,School,USA
S49,44,UG,UK
S50,40,Diploma,UK
S51,26,PG,Canada
S52,33,Diploma,UK
S53,21,Diploma,USA
S54,33,School,Australia
S55,42,School,Canada
S56,33,UG,Canada
S57,28,PG,UK
S58,36,School,India
S59,45,UG,Canada
S60,29,PG,Canada
S61,21,UG,Canada
S62,22,School,UK
S63,26,UG,Canada
S64,33,School,USA
S65,28,UG,UK
S66,29,Diploma,India
S67,43,School,Canada
S68,38,PG,India
S69,23,Diploma,USA
S70,18,School,Canada
S71,29,PG,UK
S72,43,UG,India
S73,43,UG,India
S74,38,School,Australia
S75,23,School,India
S76,22,PG,Canada
S77,23,School,Australia
S78,19,UG,India
S79,20,School,Canada
S80,20,UG,Canada
S81,22,PG,Canada
S82,24,Diploma,USA
S83,24,UG,USA
S84,26,School,UK
S85,34,Diploma,UK
S86,26,School,India
S87,40,School,Canada
S88,26,UG,Canada
S89,39,Diploma,USA
S90,20,School,Australia
S91,44,Diploma,UK
S92,40,UG,UK
S93,36,UG,Australia
S94,33,PG,UK
S95,27,School,Canada
S96,27,PG,USA
S97,43,PG,India
S98,27,UG,India
S99,34,UG,UK
S100,35,Diploma,Australia
S101,28,UG,India
S102,21,PG,India
S103,23,School,UK
S104,28,PG,Canada
S105,35,School,UK
S106,37,UG,Canada
S107,22,School,India
S108,41,UG,Australia
S109,42,Diploma,Canada
S110,21,School,UK
S111,32,UG,UK
S112,26,UG,Australia
S113,35,PG,Canada
S114,43,School,UK
S115,20,Diploma,Australia
S116,30,PG,India
S117,25,PG,Canada
S118,18,PG,Canada
S119,37,Diploma,Australia
S120,18,School,Australia
S121,29,School,USA
S122,36,UG,USA
S123,28,Diploma,USA
S124,45,Diploma,Canada
S125,22,Diploma,Australia
S126,21,UG,India
S127,28,UG,India
S128,27,PG,USA
S129,19,PG,UK
S130,19,Diploma,USA
S131,21,PG,USA
S132,31,Diploma,Australia
S133,44,Diploma,UK
S134,45,PG,UK
S135,28,UG,USA
S136,32,UG,Canada
S137,39,PG,USA
S138,30,UG,Canada
S139,39,PG,Australia
S140,35,School,India
S141,21,UG,Canada
S142,31,PG,Canada
S143,44,UG,Canada
S144,34,School,Canada
S145,30,School,Australia
S146,29,Diploma,India
S147,33,UG,USA
S148,23,UG,UK
S149,29,School,India
S150,43,UG,Australia
S151,43,UG,Canada
S152,23,UG,USA
S153,30,School,UK
S154,20,PG,UK
S155,24,UG,USA
S156,40,UG,Canada
S157,24,Diploma,Australia
S158,18,Diploma,India
S159,34,Diploma,India
S160,39,UG,Australia
S161,24,UG,Canada
S162,25,PG,USA
S163,24,PG,UK
S164,18,PG,USA
S165,45,PG,UK
S166,28,Diploma,UK
S167,18,Diploma,India
S168,38,School,UK
S169,45,Diploma,Australia
S170,25,PG,Australia
S171,27,Diploma,Canada
S172,28,UG,USA
S173,22,PG,UK
S174,30,UG,Canada
S175,39,PG,Australia
S176,36,School,Canada
S177,42,Diploma,USA
S178,18,School,USA
S179,20,School,Canada
S180,26,Diploma,UK
S181,28,PG,India
S182,18,School,USA
S183,32,Diploma,USA
S184,24,School,Canada
S185,35,UG,USA
S186,25,School,Canada
S187,42,PG,USA
S188,27,UG,UK
S189,23,UG,India
S190,36,PG,Canada
S191,23,Diploma,India
S192,21,School,USA
S193,19,PG,Canada
S194,21,UG,Australia
S195,22,School,India
S196,37,UG,UK
S197,25,School,Australia
S198,34,UG,USA
S199,32,Diploma,USA
S200,44,Diploma,Canada
S201,42,UG,Australia
S202,43,PG,Australia
S203,21,School,UK
S204,19,PG,India
S205,33,School,UK
S206,35,School,UK
S207,45,School,India
S208,34,UG,Australia
S209,20,Diploma,India
S210,34,School,UK
S211,34,Diploma,USA
S212,36,School,India
S213,45,Diploma,USA
S214,27,Diploma,USA
S215,26,UG,Australia
S216,31,PG,UK
S217,29,Diploma,Australia
S218,29,UG,Canada
S219,44,PG,Australia
S220,39,UG,India
S221,36,Diploma,USA
S222,26,School,Australia
S223,37,UG,India
S224,37,PG,India
S225,38,PG,Canada
S226,18,PG,USA
S227,20,Diploma,Canada
S228,39,UG,Australia
S229,25,UG,Australia
S230,45,School,Canada
S231,40,PG,Canada
S232,31,Diploma,Canada
S233,22,UG,Australia
S234,37,UG,USA
S235,42,Diploma,Canada
S236,21,UG,USA
S237,30,Diploma,Australia
S238,34,School,Australia
S239,30,School,Canada
S240,29,UG,India
S241,25,UG,India
S242,30,School,UK
S243,43,Diploma,UK
S244,20,Diploma,USA
S245,45,PG,India
S246,37,PG,India
S247,39,PG,Australia
S248,37,PG,USA
S249,28,UG,India
S250,29,UG,Canada
S251,35,PG,Australia
S252,35,Diploma,Canada
S253,36,PG,Canada
S254,28,School,Canada
S255,22,UG,Australia
S256,45,PG,Australia
S257,34,PG,India
S258,19,Diploma,Canada
S259,33,Diploma,USA
S260,41,UG,Canada
S261,40,UG,UK
S262,45,School,USA
S263,40,Diploma,Canada
S264,18,Diploma,India
S265,26,Diploma,India
S266,45,School,UK
S267,37,UG,USA
S268,32,PG,India
S269,29,UG,India
S270,45,PG,India
S271,21,Diploma,Australia
S272,28,School,UK
S273,30,UG,USA
S274,36,PG,USA
S275,18,Diploma,UK
S276,25,UG,Canada
S277,35,UG,USA
S278,40,Diploma,Australia
S279,26,School,India
S280,37,School,Canada
S281,40,School,India
S282,25,Diploma,Canada
S283,19,Diploma,India
S284,18,PG,India
S285,27,School,USA
S286,40,School,Canada
S287,36,PG,Canada
S288,21,School,Canada
S289,22,School,USA
S290,40,School,USA
S291,38,School,Australia
S292,19,School,India
S293,40,UG,USA
S294,45,Diploma,Canada
S295,40,UG,UK
S296,45,PG,India
S297,39,UG,Australia
S298,38,UG,India
S299,36,School,India
S300,18,School,Australia
S301,35,School,UK
S302,43,School,USA
S303,30,PG,USA
S304,32,PG,India
S305,42,Diploma,Canada
S306,38,UG,India
S307,39,School,Australia
S308,43,UG,Australia
S309,45,School,India
S310,36,PG,Canada
S311,42,UG,Australia
S312,36,UG,Canada
S313,18,UG,Australia
S314,22,PG,UK
S315,22,Diploma,Canada
S316,25,UG,Australia
S317,39,School,Canada
S318,18,School,Canada
S319,24,School,UK
S320,30,Diploma,USA
S321,36,UG,India
S322,41,Diploma,Australia
S323,39,PG,India
S324,44,PG,UK
S325,36,Diploma,India
S326,35,Diploma,India
S327,26,PG,USA
S328,43,School,USA
S329,38,School,Australia
S330,19,Diploma,Canada
S331,34,School,USA
S332,24,PG,USA
S333,20,UG,Australia
S334,20,PG,UK
S335,19,PG,Australia
S336,42,PG,India
S337,40,UG,Canada
S338,27,Diploma,India
S339,32,School,Canada
S340,38,School,Australia
S341,34,Diploma,Canada
S342,20,UG,UK
S343,38,UG,UK
S344,27,PG,USA
S345,26,UG,Australia
S346,36,UG,USA
S347,21,School,Canada
S348,21,School,Australia
S349,41,UG,USA
S350,39,PG,UK
S351,35,UG,USA
S352,20,UG,Canada
S353,42,Diploma,UK
S354,20,PG,India
S355,23,UG,Australia
S356,35,Diploma,Canada
S357,39,Diploma,Canada
S358,37,PG,UK
S359,41,PG,India
S360,27,PG,USA
S361,43,Diploma,India
S362,22,PG,USA
S363,27,School,USA
S364,38,Diploma,Canada
S365,28,UG,Canada
S366,38,Diploma,Australia
S367,42,PG,USA
S368,29,PG,India
S369,25,PG,India
S370,42,UG,USA
S371,40,Diploma,Canada
S372,20,Diploma,UK
S373,36,Diploma,India
S374,26,UG,Canada
S375,43,School,USA
S376,20,Diploma,Australia
S377,35,School,Canada
S378,43,PG,UK
S379,20,UG,Canada
S380,24,School,USA
S381,19,PG,India
S382,28,Diploma,UK
S383,28,UG,Canada
S384,29,UG,USA
S385,29,PG,Australia
S386,18,Diploma,Australia
S387,37,School,Canada
S388,18,School,UK
S389,40,Diploma,Canada
S390,32,UG,Australia
S391,28,School,India
S392,20,School,Canada
S393,19,Diploma,Canada
S394,19,PG,Australia
S395,34,PG,UK
S396,24,PG,Australia
S397,29,Diploma,Australia
S398,21,PG,Canada
S399,39,School,USA
S400,42,Diploma,Canada
S401,22,Diploma,India
S402,28,School,India
S403,40,UG,India
S404,43,PG,USA
S405,18,UG,Canada
S406,44,School,USA
S407,28,UG,UK
S408,44,PG,India
S409,27,School,India
S410,44,School,India
S411,20,UG,USA
S412,40,PG,UK
S413,32,Diploma,USA
S414,36,School,USA
S415,33,PG,India
S416,38,UG,UK
S417,45,School,Canada
S418,41,School,India
S419,42,Diploma,Canada
S420,42,UG,India
S421,34,Diploma,USA
S422,26,PG,Australia
S423,37,PG,Canada
S424,33,PG,Canada
S425,44,Diploma,UK
S426,38,UG,Canada
S427,20,PG,India
S428,39,UG,USA
S429,43,School,Canada
S430,40,Diploma,USA
S431,20,PG,India
S432,33,PG,Australia
S433,28,PG,USA
S434,36,School,USA
S435,40,School,Australia
S436,24,PG,Australia
S437,28,Diploma,UK
S438,35,Diploma,India
S439,34,Diploma,Canada
S440,36,School,Australia
S441,35,PG,Canada
S442,30,PG,UK
S443,23,Diploma,UK
S444,32,School,USA
S445,33,UG,Canada
S446,36,School,Australia
S447,36,Diploma,Canada
S448,26,UG,India
S449,30,UG,USA
S450,19,Diploma,Australia
S451,45,Diploma,USA
S452,24,PG,UK
S453,24,School,USA
S454,41,School,Australia
S455,45,PG,Australia
S456,28,PG,Australia
S457,42,School,India
S458,18,PG,UK
S459,31,Diploma,Australia
S460,38,Diploma,UK
S461,38,UG,Canada
S462,32,UG,USA
S463,43,UG,India
S464,30,PG,India
