student_id,days_to_first_activity,consistent_weekly_study
S1,4,0
S2,5,1
S3,3,1
S4,9,1
S5,0,0
S6,4,1
S7,2,0
S8,3,0
S9,1,1
S10,7,0
S11,9,1
S12,5,1
S13,6,0
S14,4,1
S15,2,0
S16,0,1
S17,4,1
S18,9,1
S19,7,1
S20,7,1
S21,1,0
S22,9,0
S23,8,0
S24,4,0
S25,8,0
S26,6,1
S27,0,1
S28,10,1
S29,6,1
S30,0,1
S31,10,1
S32,2,0
S33,9,0
S34,7,1
S35,5,1
S36,3,1
S37,7,0
S38,10,1
S39,1,1
S40,2,0
S41,7,0
S42,4,1
S43,8,1
S44,9,1
S45,10,1
S46,6,0
S47,8,0
S48,0,0
S49,4,0
S50,7,1
S51,4,0
S52,3,1
S53,10,1
S54,2,0
S55,1,1
S56,3,0
S57,1,1
S58,4,0
S59,3,1
S60,0,0
S61,2,1
S62,9,0
S63,4,0
S64,10,1
S65,10,0
S66,9,1
S67,5,0
S68,7,1
S69,5,1
S70,6,0
S71,9,1
S72,6,1
S73,8,1
S74,10,1
S75,9,0
S76,0,0
S77,6,1
S78,10,1
S79,6,1
S80,7,0
S81,9,0
S82,6,0
S83,9,0
S84,5,0
S85,2,0
S86,6,1
S87,7,0
S88,8,1
S89,10,1
S90,4,1
S91,4,0
S92,0,0
S93,1,1
S94,6,0
S95,2,1
S96,6,0
S97,10,1
S98,2,1
S99,7,1
S100,4,1
S101,5,1
S102,2,1
S103,9,1
S104,0,1
S105,7,1
S106,9,1
S107,10,1
S108,1,0
S109,0,0
S110,8,1
S111,5,1
S112,3,1
S113,1,0
S114,3,1
S115,6,0
S116,9,1
S117,1,1
S118,6,1
S119,9,1
S120,7,1
S121,1,0
S122,6,0
S123,4,0
S124,4,0
S125,1,0
S126,0,1
S127,0,0
S128,9,1
S129,1,1
S130,4,1
S131,8,1
S132,7,1
S133,3,1
S134,3,1
S135,4,1
S136,4,1
S137,4,0
S138,3,1
S139,7,0
S140,7,0
S141,0,1
S142,10,1
S143,7,1
S144,10,1
S145,9,1
S146,8,1
S147,5,1
S148,2,0
S149,8,0
S150,2,0
S151,4,1
S152,10,1
S153,1,0
S154,1,1
S155,10,1
S156,8,1
S157,10,1
S158,5,0
S159,9,0
S160,5,0
S161,10,0
S162,8,0
S163,7,0
S164,1,1
S165,0,0
S166,10,1
S167,10,1
S168,9,1
S169,4,1
S170,8,0
S171,1,1
S172,9,0
S173,5,1
S174,8,0
S175,5,0
S176,8,0
S177,1,1
S178,3,1
S179,2,1
S180,6,0
S181,10,1
S182,0,0
S183,0,0
S184,1,1
S185,5,1
S186,0,1
S187,4,1
S188,5,1
S189,8,1
S190,8,0
S191,7,0
S192,6,1
S193,10,0
S194,7,0
S195,7,1
S196,7,1
S197,8,1
S198,10,0
S199,3,0
S200,9,1
S201,10,0
S202,10,0
S203,10,0
S204,2,0
S205,0,0
S206,1,1
S207,9,1
S208,0,1
S209,10,1
S210,7,0
S211,6,1
S212,4,1
S213,5,1
S214,7,0
S215,9,1
S216,0,1
S217,6,1
S218,6,0
S219,10,1
S220,10,1
S221,0,0
S222,4,0
S223,10,0
S224,4,1
S225,5,1
S226,9,1
S227,2,0
S228,8,1
S229,1,0
S230,9,1
S231,9,1
S232,4,0
S233,7,0
S234,0,1
S235,3,0
S236,5,0
S237,1,0
S238,10,0
S239,0,1
S240,6,0
S241,1,0
S242,6,1
S243,2,1
S244,9,1
S245,2,0
S246,6,0
S247,8,0
S248,5,1
S249,9,0
S250,7,0
S251,1,0
S252,4,0
S253,3,1
S254,7,1
S255,1,0
S256,3,1
S257,9,1
S258,7,0
S259,5,1
S260,2,0
S261,5,0
S262,4,1
S263,2,1
S264,8,0
S265,10,0
S266,2,1
S267,3,0
S268,8,1
S269,7,0
S270,4,1
S271,4,1
S272,3,1
S273,6,1
S274,2,1
S275,9,0
S276,4,1
S277,4,0
S278,9,1
S279,0,1
S280,2,0
S281,6,1
S282,8,1
S283,10,1
S284,7,0
S285,2,1
S286,2,0
S287,9,0
S288,1,1
S289,3,0
S290,3,0
S291,10,0
S292,9,0
S293,7,1
S294,1,1
S295,0,0
S296,6,1
S297,8,1
S298,3,0
S299,3,0
S300,10,1
S301,0,0
S302,4,1
S303,3,1
S304,3,1
S305,5,1
S306,8,1
S307,6,1
S308,5,0
S309,10,1
S310,3,1
S311,0,0
S312,6,1
S313,9,1
S314,8,0
S315,3,1
S316,4,1
S317,6,0
S318,3,0
S319,6,0
S320,2,1
S321,4,1
S322,2,1
S323,8,0
S324,1,1
S325,1,0
S326,6,1
S327,8,0
S328,5,0
S329,2,0
S330,4,0
S331,10,1
S332,1,0
S333,6,0
S334,3,1
S335,5,1
S336,7,1
S337,8,0
S338,2,0
S339,4,0
S340,0,1
S341,9,1
S342,2,0
S343,6,1
S344,4,1
S345,9,1
S346,3,0
S347,7,1
S348,9,1
S349,8,1
S350,7,0
S351,0,0
S352,4,0
S353,10,1
S354,10,1
S355,4,0
S356,8,1
S357,7,0
S358,10,1
S359,6,1
S360,2,1
S361,0,0
S362,0,0
S363,4,0
S364,9,0
S365,7,0
S366,10,1
S367,1,1
S368,10,1
S369,10,0
S370,0,1
S371,3,0
S372,3,1
S373,5,0
S374,7,1
S375,2,0
S376,9,1
S377,8,1
S378,8,1
S379,5,1
S380,9,0
S381,4,1
S382,3,0
S383,0,0
S384,1,0
S385,10,1
S386,6,0
S387,6,1
S388,4,0
S389,3,0
S390,0,0
S391,0,0
S392,10,0
S393,3,1
S394,3,1
S395,8,0
S396,8,1
S397,1,0
S398,7,0
S399,0,0
S400,2,0
S401,9,0
S402,3,0
S403,4,1
S404,3,0
S405,9,1
S406,3,1
S407,7,1
S408,10,1
S409,0,0
S410,4,1
S411,0,0
S412,9,1
S413,5,0
S414,4,1
S415,7,1
S416,7,1
S417,8,0
S418,3,0
S419,6,0
S420,1,1
S421,0,1
S422,4,1
S423,3,1
S424,3,1
S425,4,1
S426,7,1
S427,0,1
S428,9,1
S429,0,1
S430,4,1
S431,8,0
S432,10,1
S433,2,0
S434,2,0
S435,0,0
S436,0,1
S437,3,0
S438,7,0
S439,4,0
S440,9,0
S441,10,0
S442,7,1
S443,1,1
S444,5,0
S445,7,0
S446,0,0
S447,4,0
S448,8,1
S449,2,1
S450,7,0
S451,7,0
S452,9,1
S453,8,0
S454,0,1
S455,4,0
S456,5,1
S457,9,0
S458,10,0
S459,9,0
S460,7,0
S461,7,0
S462,0,1
S463,8,1
S464,4,1
S465,7,0
S466,2,1
S467,5,1
S468,10,1
S469,0,1
S470,1,0
S471,9,1
S472,5,1
S473,5,1
S474,0,1
S475,4,1
S476,8,1
S477,4,0
S478,1,0
S479,6,0
S480,4,1
S481,2,0
S482,2,1
S483,9,0
S484,0,0
S485,9,1
S486,6,0
S487,10,1
S488,5,1
S489,8,0
S490,5,0
S491,0,0
S492,6,1
S493,9,0
S494,0,0
S495,9,0
S496,6,1
S497,3,1
S498,6,0
S499,4,1
S500,3,1
S501,9,0
S502,7,0
S503,9,0
S504,0,0
S505,2,0
S506,9,0
S507,2,0
S508,6,1
S509,1,0
S510,1,0
